descricao;empenhado;liquidado;pago
"ALEXANDRE LIMA BARDALES - 52073173268";"320,00";"320,00";"320,00"
"ALEXANDRE MARTINS DE ARAUJO ASFURY - 21688869204";"12.667,12";"12.667,12";"12.667,12"
"ALEXANDRE MATHEUS GONSALVES NAVEGA FREIR - 42302904000111";"1.818,00";"1.818,00";"1.818,00"
"ALEXANDRE MAX PEREIRA - 01100342796";"2.098,85";"2.098,85";"2.098,85"
"ALEXANDRE NASCIMENTO DA SILVA - 03267848296";"130,00";"130,00";"130,00"
"ALEXANDRE NOGUEIRA DA SILVA - 81644280272";"527,62";"527,62";"527,62"
"ALEXANDRE NOGUEIRA DE SOUZA - 04028151228";"7.326,27";"7.326,27";"7.326,27"
"ALEXANDRE OLIVEIRA DA SILVA - 00421623276";"6.026,97";"6.026,97";"6.026,97"
"ALEXANDRE OLIVEIRA DE FREITAS - 86455630297";"3.048,23";"3.048,23";"3.048,23"
"ALEXANDRE PEREIRA BANDEIRA - 02602476269";"4.000,00";"4.000,00";"4.000,00"
"ALEXANDRE SANTANA DA COSTA - 00973476206";"7.142,86";"7.142,86";"7.142,86"
"ALEXANDRE SANTOS VERA - 87475685268";"20.804,42";"20.804,42";"14.192,62"
"ALEXANDRE SILVA DE ALMEIDA - 09101598236";"150,00";"150,00";"150,00"
"ALEXANDRINA  SOUZA PILLCO RUFINO - 55461590225";"264,00";"264,00";"0,00"
"ALEX ARAUJO CUNHA - 88425746272";"3.291,87";"3.291,87";"3.291,87"
"ALEX ARAUJO DA COSTA - 08279161244";"390,00";"390,00";"390,00"
"ALEX BRUNO CASTRO RIBEIRO - 03086001267";"9.702,35";"9.702,35";"9.702,35"
"ALEX CHRISTIAN GADELHA MEDEIROS - 43519113287";"2.503,42";"2.503,42";"2.503,42"
"ALEX COSTA MESQUITA - 00919280285";"1.271,50";"1.271,50";"0,00"
"ALEX DA COSTA PAIVA - 61126624268";"7.585,68";"7.585,68";"7.156,30"
"ALEX DANNY TAVARES DOS SANTOS - 71568336187";"34.876,08";"34.876,08";"31.376,08"
"ALEX DA SILVA - 96476257234";"272,77";"272,77";"0,00"
"ALEX DA SILVA SOUZA - 92060978220";"30.000,00";"30.000,00";"30.000,00"
"ALEX DE MELO GASPAR - 00530356236";"429,38";"429,38";"429,38"
"ALEX DE SOUZA AGUIAR - 96774401287";"200,25";"200,25";"200,25"
"ALEX DE SOUZA CAVALCANTE - 59531010234";"5.942,68";"5.942,68";"5.942,68"
"ALEX DIAS DO NASCIMENTO - 94328455249";"1.686,85";"1.686,85";"1.686,85"
"ALEX DIOGO FIGUEIREDO LEAO - 88711250291";"8.156,62";"8.156,62";"8.156,62"
"ALEX ELIAS BRAGA DE PAULA - 54472601168";"10.806,48";"10.806,48";"10.806,48"
"ALEX FELIPE DE OLIVEIRA SILVA - 09944401200";"140,00";"140,00";"140,00"
"ALEX GALDINO LIMA - 89794338249";"28.571,43";"28.571,43";"28.571,43"
"ALEX GOMES DOS SANTOS - 70258936258";"488,00";"488,00";"488,00"
"ALÉXIA BRUNA VIANA DOS SANTOS - 07997854231";"400,00";"400,00";"400,00"
"ALEX JONIS CAMPOS FERREIRA - 82275840206";"6.803,40";"6.803,40";"992,92"
"ALEX LIMA DE SOUZA - 41187237272";"8.284,99";"8.284,99";"8.284,99"
"ALEX MARVIN MOURA LIMA - 00234296232";"5.722,89";"5.722,89";"5.722,89"
"ALEX MENDES DE SOUZA - 51204592268";"1.614,37";"1.614,37";"1.614,37"
"ALEX OLIVEIRA RODRIGUES - 95978755272";"7.326,27";"4.921,15";"4.921,15"
"ALEX SANDER DE OLIVEIRA SILVA - 30853109249";"1.860,63";"1.860,63";"1.860,63"
"ALEXSANDRA ALVES DIAS MIRANDA - 70413118215";"528,11";"528,11";"528,11"
"ALEXSANDRA LIMA PINTO GUIMARAES - 00290072247";"272,00";"272,00";"272,00"
"ALEXSANDRA MIRANDA DE SOUZA - 08064158273";"120,00";"120,00";"120,00"
"ALEXSANDRO DA SILVA BORGES - 01584095237";"1.100,00";"1.100,00";"1.100,00"
"ALEXSANDRO DA SILVA OLIVEIRA - 66312248291";"968,62";"968,62";"968,62"
"ALEXSANDRO MARQUES BOTAO - 06865332245";"368,00";"368,00";"368,00"
"ALEXSANDRO MESQUITA DO NASCIMENTO - 51789795249";"7.049,75";"7.049,75";"7.049,75"
"ALEX SOARES DE SOUZA - 62077155272";"572,49";"572,49";"572,49"
"ALEX SOUZA DE OLIVEIRA - 00742581250";"2.862,54";"2.862,54";"2.289,92"
"ALEX SOUZA DOS SANTOS - 94508747272";"3.005,62";"3.005,62";"3.005,62"
"ALFERINO CANDIDO ANGELO NETO - 83114688268";"753,37";"753,37";"753,37"
"ALFO EXPRESS COMERCIO E SERVICOS LTDA - 18054020000100";"332.384,02";"283.558,21";"283.558,21"
"ALFONSO FLORES ROMERO - 51853760234";"8.752,46";"8.752,46";"8.752,46"
"ALFREDO DA SILVA NASCIMENTO - 08745019207";"368,00";"368,00";"368,00"
"ALFREDO SEVERINO JARES DAOU - 57339759204";"1.976,80";"1.976,80";"1.976,80"
"ALGAR MULTIMIDIA S/A - 04622116000113";"0,00";"0,00";"0,00"
"ÁLIA BARBOSA KAXINAWÁ - 03867866236";"5.524,68";"0,00";"0,00"
"ALIANNE EVELYN DA SILVA MORAES - 10101929226";"480,00";"480,00";"480,00"
"ALICE ALBUQUERQUE BORGES - 08610429210";"280,00";"280,00";"280,00"
"ALICE DA COSTA DOS REIS - 09871300212";"380,00";"380,00";"380,00"
"ALICE DA ROCHA FARIAS - 07377788224";"692,00";"692,00";"692,00"
"ALICE DA SILVA LEAO - 02337679241";"1.717,62";"1.717,62";"1.717,62"
"ALICE DA SILVA REBOUÇAS - 52338436253";"2.990,63";"2.890,63";"2.890,63"
"ALICE ESTHEFANY SANTOS DE LIMA - 07020010237";"240,00";"240,00";"240,00"
"ALICE FARIAS DE SOUZA - 05082349210";"400,00";"400,00";"400,00"
"ALICE GOMES DE ARAUJO - 03735111246";"260,00";"260,00";"260,00"
"ALICE LETICIA ARAUJO DA SILVA - 08039740274";"320,00";"320,00";"320,00"
"ALICE LIMA DOS SANTOS - 09755814221";"320,00";"320,00";"320,00"
"ALICE PESSOA LESSA - 99574071200";"38.672,75";"38.672,75";"38.672,75"
"ALICE REGINA RODRIGUES DE SOUZA - 46157794291";"3.078,79";"3.078,79";"3.078,79"
"ALICE SILVA DOS SANTOS - 78786673220";"1.600,00";"1.600,00";"1.600,00"
"ALICE SILVA ROCHA - 10386557225";"80,00";"80,00";"80,00"
"ALICE SOTERO DE SOUZA - 02026707243";"992,92";"992,92";"992,92"
"ALICE SOUZA MARINHO - 71335089233";"162,00";"162,00";"162,00"
"ALICE SOUZA RODRIGUES - 08635459202";"150,00";"150,00";"150,00"
"ALICE VICTORIA CUNHA SANTOS - 06141424236";"104,00";"104,00";"104,00"
"ALICE VITORIA COSTA EVAGELISTA - 03057707211";"340,00";"340,00";"340,00"
"ALICE VITÓRIA MARQUES DA SILVA - 04192854236";"550,00";"550,00";"550,00"
"ALICE VITORIA SILVA TAVARES - 07647321293";"1.570,00";"1.570,00";"1.570,00"
"ALICIA GABRIELLE OLIVEIRA DOS SANTOS - 81110936249";"7.326,27";"7.326,27";"7.326,27"
"ALICIANE REGO GUIMARÃES - 04413950232";"8.125,93";"8.125,93";"8.125,93"
"ALICIA ROSEMAIRE DE SOUZA FLORES - 41278976272";"644,06";"644,06";"644,06"
"ALIFE NASCIMENTO BEZERRA - 02973234239";"6.083,87";"6.083,87";"6.083,87"
"ALINE AIRES DA SILVA - 06388796206";"510,00";"510,00";"510,00"
"ALINE BARROS DE SOUZA - 02246429285";"676,00";"676,00";"676,00"
"ALINE CAETANO SILVA - 05163135252";"257,85";"257,85";"257,85"
"ALINE CASTRO ALVES - 70516048210";"192,00";"192,00";"192,00"
"ALINE CONCEIÇÃO RODRIGUES - 08635492250";"320,00";"320,00";"320,00"
"ALINE CRISTALINO DE ABREU - 08201893247";"800,00";"800,00";"800,00"
"ALINE CRISTINA BEZERRA DA SILVA - 03884644297";"168,00";"168,00";"168,00"
"ALINE CRISTINA MENEZES SANTOS - 00557818290";"2.316,81";"2.316,81";"2.316,81"
"ALINE CRISTINE LOPES GOMES - 08053598269";"298,00";"298,00";"298,00"
"ALINE DA CONCEICAO ANDRADE - 02793323276";"22.280,28";"22.280,28";"22.280,28"
"ALINE DA CONCEIÇÃO FERREIRA - 70307603288";"392,00";"392,00";"392,00"
"ALINE DA ROCHA SILVA - 10698607279";"160,00";"160,00";"160,00"
"ALINE DAYANE BRUNO DA SILVA GOMES - 50928872220";"13.154,83";"13.154,83";"13.154,83"
"ALINE DE ALMEIDA NASCIMENTO - 03727523220";"180,00";"180,00";"180,00"
"ALINE DE OLIVEIRA FERREIRA - 01031871209";"2.260,12";"2.260,12";"2.260,12"
"ALINE FEITOZA DE AZEVEDO - 03816323260";"390,00";"390,00";"390,00"
"ALINE FERNANDA NASCIMENTO PINHEIRO - 01914101286";"15.680,00";"15.680,00";"15.680,00"
"ALINE FERREIRA LIMA DE ALBUQUERQUE - 88005445253";"18.493,83";"18.493,83";"18.493,83"
"ALINE KAILANE RUFINO NEGREIROS - 05569741232";"310,00";"310,00";"310,00"
"ALINE KAUANE DA SILVA MAIA - 10235049280";"366,00";"366,00";"366,00"
"ALINE KELEN ACIOLI SOUZA - 88768040210";"1.288,13";"1.288,13";"1.288,13"
"ALINE LIMA DA ROCHA - 05172716211";"320,00";"320,00";"320,00"
"ALINE MENEZES DA SILVA - 93986092234";"4.950,00";"4.950,00";"4.950,00"
"ALINE NASCIMENTO AQUINO - 09090138293";"368,00";"368,00";"368,00"
"ALINE OLIVEIRA DE SOUSA - 07025539210";"380,00";"380,00";"380,00"
"ALINE PINHEIRO DA COSTA - 02100848208";"10.543,13";"10.543,13";"7.943,13"
"ALINE QUEROLAINE LIMA COSTA - 02274921296";"1.431,24";"1.431,24";"1.431,24"
"ALINE RAMOS CAVALCANTE - 96837748220";"5.295,60";"5.295,60";"5.295,60"
"ALINES DANIEL DO NASCIMENTO LOPES - 79364730259";"31.080,00";"31.080,00";"31.080,00"
"ALINE SENA DE OLIVEIRA - 51629038253";"14.574,38";"14.574,38";"14.574,38"
"ALINE SILVA MARTINS - 08063228294";"160,00";"160,00";"160,00"
"ALINE SILVA OLIVEIRA - 07937894270";"140,00";"140,00";"140,00"
"ALINE SOUZA DA SILVA - 06299329211";"168,00";"168,00";"168,00"
"ALINE SOUZA DA SILVA GUIMARÃES SF - 04034484000140";"3.000,00";"3.000,00";"3.000,00"
"ALINETE ALVES DA SILVA - 01633266222";"1.456,28";"1.456,28";"1.456,28"
"ALINE VITÓRIA MELO OLIVEIRA - 09977965293";"676,00";"676,00";"676,00"
"ALINNE LIMA CHAVES - 04101468206";"8.374,19";"8.374,19";"8.374,19"
"ALINNE RIBEIRO ARANTES - 52519988215";"7.873,24";"7.873,24";"7.873,24"
"ALIPIO ALVES DE SOUZA NETO - 08849569203";"400,00";"400,00";"400,00"
"ALIRIA MEDICAMENTOS ESPECIAIS - 47848127000129";"248.490,00";"0,00";"0,00"
"ALIRIO WANDERLEY NETO - 51258897253";"28.848,22";"28.848,22";"28.848,22"
"ALIS GROMA SOUZA PINHEIRO - 05702219279";"1.630,00";"1.630,00";"1.630,00"
"ALISON DE LIMA BANDEIRA - 03646359242";"5.009,94";"5.009,94";"5.009,94"
"ALISON DE SOUZA LIRA - 96721480204";"1.800,00";"1.800,00";"1.800,00"
"ALISON LIMA DA SILVA - 00374532206";"4.097,62";"4.097,62";"4.097,62"
"ALISON LIMA DA SILVA - SF - 04034484000140";"8.000,00";"8.000,00";"8.000,00"
"ALISON PEREIRA DA COSTA - 79895697287";"63.000,00";"63.000,00";"63.000,00"
"ALISON VICTOR DOS SANTOS LEITE - 03716831220";"7.326,27";"7.326,27";"7.326,27"
"ALISON ZABALA DA CUNHA - 94101760268";"4.102,61";"4.102,61";"4.102,61"
"ALISSANDRA TIMMERMAM DE PAIVA - 10015865738";"3.704,98";"3.704,98";"3.704,98"
"ALISSON ANTUNES DA SILVA - 07074496260";"664,00";"664,00";"664,00"
"ALISSON BANDEIRA DA SILVA - 64788288249";"5.152,48";"5.152,48";"5.152,48"
"ALISSON BEZERRA DE OLIVEIRA - 03071475250";"9.018,09";"9.018,09";"9.018,09"
"ALISSON DA SILVA MELO - 02479357279";"20.000,00";"20.000,00";"20.000,00"
"ALISSON DA SILVA SARAIVA - 70237351277";"1.070,00";"1.070,00";"1.070,00"
"ALISSON DE LIMA BEZERRA - 03801959252";"9.918,73";"8.798,73";"8.798,73"
"ALISSON DE SOUSA COELHO - 08598475270";"400,00";"400,00";"400,00"
"ALISSON FEITOZA AZEVEDO - 94942552249";"807,25";"807,25";"807,25"
"ALISSON FERREIRA KLEIN - 08763687208";"368,00";"368,00";"368,00"
"ALISSON FONSECA DA COSTA RODRIGUES - 88295761234";"1.842,50";"1.842,50";"1.842,50"
"ALISSON GOMES MACIEL - 01450496202";"7.013,10";"7.013,10";"7.013,10"
"ALISSON MACHADO DIAS - 02775100236";"150,75";"150,75";"150,75"
"ALISSON OLIVEIRA ANDRADE - 03194579231";"2.185,87";"2.185,87";"2.185,87"
"ALISSON PEREIRA DE SOUZA - 64691675272";"9.841,64";"9.841,64";"9.841,64"
"ALISSON PERES MAIA - 63237415200";"12.381,85";"12.381,85";"12.381,85"
"ALISSON PERES MAIA-SF - 04034484000140";"4.000,00";"4.000,00";"4.000,00"
"ALISSON PESSOA DA SILVA - 08720803230";"456,00";"456,00";"456,00"
"ALISSON ROCHA DA CRUZ - 08320843286";"1.556,00";"1.556,00";"1.556,00"
"ALISSON ROGERIO CAETANO SILVA - 88795039287";"2.475,37";"2.475,37";"2.475,37"
"ALISSON WADLEYN LIMA DE ALMEIDA - 07034772266";"358,00";"358,00";"358,00"
"ÁLITON FERREIRA DE SOUSA - 08953191289";"368,00";"368,00";"368,00"
"ALKANSE EQUIPAMENTOS ELETRONICOS LTDA - 00716656000105";"638.416,66";"528.750,00";"528.750,00"
"ALLAKYS GUSTAVO BARBOSA  LIMA - 04435649225";"1.858,00";"1.858,00";"1.858,00"
"ALLAN GABRIEL DE SOUZA SILVA - 02613644214";"13.994,50";"13.994,50";"13.994,50"
"ALLAN JONATHAN SOUZA SILVA - 02497152284";"3.950,61";"3.950,61";"3.950,61"
"ALLAN MATHEUS SOUZA SILVA - 03502855277";"7.326,27";"7.326,27";"7.326,27"
"ALLAN SILVA DE LIMA - 52891470206";"15.975,00";"15.975,00";"15.975,00"
"ALL CONNECT LTDA - 40499977000110";"26.520,00";"18.360,00";"18.360,00"
"ALLEC VICTOR SOUZA FROTA - 07659807200";"494,00";"494,00";"494,00"
"ALLEF DE ARAUJO MELO - 00385473257";"1.900,00";"1.900,00";"1.900,00"
"ALLIAGE S A INDUSTRIAS MEDICO ODONTOLOGI - 55979736000145";"13.000,00";"13.000,00";"13.000,00"
"ALLINE PESSOA DO VALE - 03155210230";"9.828,00";"9.828,00";"9.828,00"
"ALLM S.A. - 22077351000133";"4.273.264,00";"2.380.921,67";"2.264.067,67"
"ALLOS SOLUCOES EM SAUDE LTDA - 47218871000140";"200.350,00";"154.190,00";"94.385,00"
"ALLTECH - SOLUCOES EM TECNOLOGIA LTDA - 21547011000166";"636.574,00";"381.396,00";"381.396,00"
"ALMEIDA LIMA LTDA - 11118409000123";"4.520,00";"1.740,00";"1.740,00"
"ALMERINDA MOREIRA - 56485352287";"968,63";"968,63";"968,63"
"ALMINERES ALVES DA SILVA - 67209343253";"296,00";"296,00";"296,00"
"ALMIR FERNANDES BRANCO - 06927729879";"4.198,36";"4.198,36";"4.198,36"
"ALMIR FONTENELE DE ARAUJO - 21586799215";"1.884,37";"1.884,37";"1.884,37"
"ALNOOR COMERCIAL IMPORTADORA LTDA - 14194208000101";"24.590,00";"0,00";"0,00"
"ALON MELO DA SILVA - 67797458200";"3.220,74";"3.220,74";"3.220,74"
"ALOYSIO IKARO MARTINS COELHO COSTA - 87545241215";"1.500,00";"1.500,00";"1.500,00"
"A. L. P. GUTIERREZ - 42193390000103";"178.223,60";"35.630,12";"32.994,04"
"ALPHAMEDI COMERCIO E REPRESENTACOES - 05028965000106";"7.144,85";"0,00";"0,00"
"ALPHA TECNOLOGIA E INOVACAO LTDA - 50418269000160";"3.800,00";"0,00";"0,00"
"ALRISANDRO PEREIRA CAVALCANTE - 65455991272";"28.800,00";"0,00";"0,00"
"ALTAMIR NOGUEIRA MORAIS - 41241487200";"200,00";"200,00";"200,00"
"ALTEMAR PEREIRA DE LIMA - 21772800287";"12.244,84";"12.244,84";"11.378,98"
"ALTEMIR GONCALVES DE SOUZA - 11327855291";"2.316,81";"2.316,81";"2.316,81"
"ALTEMIR MARCELINO - 70952744287";"7.961,29";"0,00";"0,00"
"ALTEMIR MARCOS BEZERRA DA SILVA JÚNIOR - 99121220204";"7.326,27";"7.326,27";"7.326,27"
"ALTEMIR MENDES DA SILVA - 52321517204";"753,74";"753,74";"753,74"
"ALTEMIR MUNIZ DE OLIVEIRA - 48389390272";"11.913,50";"11.913,50";"11.913,50"
"ALTEMIR RODRIGUES PEREIRA - 36047910220";"15.000,00";"15.000,00";"15.000,00"
"ALTENOR FRANCISCO DA MOTA JUNIOR - 36035181287";"2.719,38";"2.719,38";"2.719,38"
"ALTEVIR MENEZES DE SOUZA - 67797512272";"8.139,17";"8.139,17";"8.139,17"
"ALTINO TADEU DA SILVA VIEIRA - 13816349234";"3.874,69";"3.874,69";"3.874,69"
"ALUANA AMORIM DE SA - 00808031210";"880,00";"880,00";"880,00"
"ALUILDO CONCEICAO DE SOUZA - 67350380291";"18.967,38";"18.967,38";"18.967,38"
"ALUIZIO ALENCAR DE ALMEIDA - 21782580263";"71,56";"71,56";"71,56"
"ALUIZIO ALVES PEREIRA - 81122241291";"5.400,00";"5.400,00";"5.400,00"
"ALVANIR COSTA DOS SANTOS - 78773563234";"320,00";"320,00";"320,00"
"ALVARO AUGUSTO DE ANDRADE MENDES - 13830341253";"9.346,29";"9.346,29";"9.346,29"
"ALVARO AUGUSTO DE ANDRADE MENDES SF - 04034484000140";"10.000,00";"10.000,00";"10.000,00"
"ALVARO DA SILVA NASCIMENTO - 08745023220";"488,00";"488,00";"488,00"
"ALVARO LUIZ ARAUJO PEREIRA - 22070141268";"46.676,59";"46.676,59";"46.676,59"
"ALVARO LUIZ DE OLIVEIRA - 18877737204";"6.319,97";"6.319,97";"0,00"
"ALVARO MANOEL VIEIRA SAMPAIO - 85085790804";"8.491,82";"8.491,82";"8.491,82"
"ALVARO M. SAMPAIO SOCIEDADE IND.DE ADVOG - 30749739000161";"64.270,22";"64.270,22";"64.270,22"
"ALVARO SANTIAGO DE OLIVEIRA FILHO - 19734212249";"8.473,71";"8.473,71";"8.473,71"
"ALVES & LIMA LTDA-ME - 07760015000105";"1.075.090,42";"667.634,99";"667.634,99"
"ALY KAMEL DA SILVA BRANDAO - 08482781278";"30.000,00";"30.000,00";"30.000,00"
"ALYNE BRANDAO ALVES - 88265986220";"1.860,61";"1.860,61";"1.860,61"
"ALYNE FRANÇA CAMPOS - 08415540213";"1.400,00";"1.400,00";"1.400,00"
"ALYNE OLIVEIRA DE SOUZA - 02716784299";"192,00";"192,00";"192,00"
"ALYNE PAES OLIVEIRA - 07834135210";"640,00";"640,00";"640,00"
"ALYNNE COSTA ALVES RODRIGUES - 87693178287";"15.462,36";"15.462,36";"3.936,63"
"ALYNNE GOMES FAUSTINO - 70307513297";"1.150,00";"1.150,00";"1.150,00"
"ALYSSON CACERES GOMES - 58306838220";"16.104,36";"16.104,36";"16.104,36"
"ALZENIRA RODRIGUES CASAS - 18317804291";"1.206,00";"1.206,00";"1.206,00"
"ALZENIR DE OLIVEIRA LEAO - 23350148204";"2.378,35";"2.378,35";"2.378,35"
"ALZENIR GOMES DA SILVA - 41235061272";"390,00";"390,00";"390,00"
"ALZERINO NUNES DE FONTES - 46152881234";"71.506,35";"71.506,35";"71.506,35"
"ALZIRA CARDOSO LESSA NETA - 10192427288";"1.320,00";"1.320,00";"1.320,00"
"ALZIRA CORREIA RODRIGUES SANTANA - 43413145215";"200,25";"200,25";"200,25"
"ALZIRENE DO NASCIMENTO NUNES KAXINAWA - 02043668285";"15.000,00";"15.000,00";"15.000,00"
"AMABILE REGINA DE SOUZA MENDES - 01359887210";"1.760,00";"1.760,00";"1.760,00"
"AMANCIO LIMA DA SILVA NETO - 07244588240";"1.190,00";"1.190,00";"1.190,00"
"AMANDA AGATHA LOPES DE SOUZA - 08177749200";"110,00";"110,00";"110,00"
"AMANDA BATISTA LEITE - 03417033209";"5.721,28";"5.721,28";"5.721,28"
"AMANDA CAMPOS GUARESQUI LACERDA - 03647414220";"13.981,93";"13.981,93";"13.981,93"
"AMANDA CECÍLIA TEIXEIRA DOS SANTOS - 00593873270";"3.220,87";"3.220,87";"3.220,87"
"AMANDA DA CONCEIÇAO RIBEIRO - 03106841290";"320,00";"320,00";"320,00"
"AMANDA DA COSTA VASCONCELOS - 86586440220";"17.708,09";"17.708,09";"17.708,09"
"AMANDA DA SILVA DINIZ - 00134662245";"2.260,12";"2.260,12";"2.260,12"
"AMANDA DE AZEVEDO RIBEIRO - 83296190287";"53,81";"53,81";"53,81"
"AMANDA DE LIMA GOMES - 07859130254";"4.050,00";"3.600,00";"3.600,00"
"AMANDA DE SOUZA SILVA - 02899068229";"1.161,31";"1.161,31";"1.161,31"
"AMANDA DOS SANTOS TAVARES - 08596454284";"370,00";"370,00";"0,00"
"AMANDA FEIJO ROLA - 03485169242";"7.510,12";"7.510,12";"7.510,12"
"AMANDA GABRIELLE NEGREIROS NOGUEIRA - 00200386239";"7.142,86";"7.142,86";"7.142,86"
"AMANDA GONCALVES DOS SANTOS - 03702706224";"560,00";"560,00";"560,00"
"AMANDA ISABELA LUCIA DA SILVA - 94748535253";"9.017,85";"9.017,85";"9.017,85"
"AMANDA JESSICA GOMES DE SOUZA - 06559962229";"260,00";"260,00";"260,00"
"AMANDA JHEMILLY DE SOUZA SANTOS - 10345202295";"888,00";"888,00";"888,00"
"AMANDA LIMA ARANTES - 01715374240";"3.220,87";"3.220,87";"3.220,87"
"AMANDA LIMA DAMACENO - 00776951270";"1.110,00";"1.110,00";"1.110,00"
"AMANDA LOPES DE LIMA - 09068330276";"304,00";"304,00";"304,00"
"AMANDA MARIA LINS CRAVEIRO - 02538454247";"6.584,86";"6.584,86";"6.584,86"
"AMANDA MARQUES LIMA - 01095680285";"3.220,87";"3.220,87";"0,00"
"AMANDA MARTINS DA SILVA KAXINAWA - 02100283278";"947,13";"947,13";"947,13"
"AMANDA MEIRELES TEIXEIRA - 70687415250";"1.070,00";"1.070,00";"1.070,00"
"AMANDA MENÊSES DE CASTRO - 07231569218";"370,00";"370,00";"370,00"
"AMANDA MONTEIRO DE MOURA - 04813603289";"2.264,00";"2.264,00";"2.264,00"
"AMANDA NUNES DE ALMEIDA - 08458469227";"1.020,00";"1.020,00";"1.020,00"
"AMANDA PAIXAO DA SILVA - 06061916230";"220,00";"220,00";"220,00"
"AMANDA QUEZIA DE SOUZA DA SILVA - 10153227273";"398,00";"398,00";"398,00"
"AMANDA RUFINO BRASIL - 03956779207";"480,00";"480,00";"480,00"
"AMANDA SILVA DE OLIVEIRA - 06647930299";"1.408,00";"1.408,00";"1.408,00"
"AMANDA SILVA QUEIROZ - 09690348221";"200,00";"200,00";"200,00"
"AMANDA SONAIRA SANTOS DA COSTA ASFURY RO - 66861209287";"2.332,42";"2.332,42";"2.332,42"
"AMARALMED COMERCIOS E SERVICOS LTDA - 54134185000156";"35.550,00";"0,00";"0,00"
"AMARILDO FERNANDES DOS REIS - 04927867200";"312,00";"312,00";"312,00"
"AMARILDO GUIMARAES DE OLIVEIRA - 21612374204";"2.261,30";"2.261,30";"1.206,02"
"AMARILDO JORGE ROBERTO BATISTA PRAXEDES - 75704498272";"7.326,27";"7.326,27";"7.326,27"
"AMARILDO MARTINS MOURA - 95120211291";"2.209,97";"2.209,97";"2.209,97"
"AMARILDO MATIAS LIMA - 60385065272";"807,25";"807,25";"807,25"
"AMARISIO BRANDÃO DE LIMA - 61241873291";"16.560,00";"16.560,00";"16.560,00"
"AMAURENE SOUZA FEITOSA - 10056049242";"400,00";"400,00";"400,00"
"AMAURI DA CRUZ CONCEICAO - 79235689287";"904,49";"904,49";"904,49"
"AMAURI DA SILVA COSTA JUNIOR - 03621859217";"7.013,10";"7.013,10";"7.013,10"
"AMAURI PEREIRA DO NASCIMENTO - 43399142234";"159.956,40";"159.956,40";"159.956,40"
"AMAYRA CRIS CHAVES DA SILVA - 78786029215";"753,37";"753,37";"753,37"
"AMAZONAS COMERCIO DE ADESIVOS E BRINDES - 11383230000101";"1.105,00";"1.105,00";"1.105,00"
"AMAZONAS COM SERV E REPRESENTAÇAO LTDA - - 08580940000109";"24.000,00";"0,00";"0,00"
"AMAZONAS COPIADORA LTDA - 01657353000121";"3.307.745,85";"2.025.333,92";"1.854.893,63"
"AMAZON FORT SOLUCOES AMBIENTAIS E SERVIC - 84750538000103";"197.760,00";"186.156,17";"84.878,54"
"AMAZONIA CABO LTDA - 02311604000184";"3.132.275,97";"2.013.605,97";"2.013.605,97"
"AMAZONIA ECOLOGIC SOLUCOES AMBIENTAIS - 56059832000138";"49.998,92";"49.998,92";"49.998,92"
"AMAZONINO DA SILVA BERNARDINO - 93168284220";"2.146,87";"2.146,87";"2.146,87"
"AMAZON PRESS COMUNICACAO LTDA - 23314070000110";"18.800,00";"18.800,00";"18.800,00"
"AMAZON SECURITY LTDA - 04718633000190";"3.480.634,14";"1.631.502,28";"1.631.502,28"
"AMBARLAB PRODUTOS LABORATORAIS LTDA - 80243769000170";"2.457,10";"2.457,10";"2.457,10"
"AMBI CLEAN LIMPEZA E HIGIENIZACAO LTDA - 44312042000133";"0,00";"0,00";"0,00"
"AMC DIAS - 16750076000174";"430.000,00";"0,00";"0,00"
"AMC FERRAGENS LTDA- EPP - 43493520000196";"327.428,00";"325.430,00";"325.430,00"
"AMENA CLIMATIZACAO LTDA - 46368367000163";"59.988,25";"59.988,25";"35.992,95"
"AMERICAN LIFE COMPANHIA DE SEGUROS - 67865360000127";"1.700.000,00";"566.666,67";"566.666,67"
"AMÉRICO COSTA DA SILVA - 70499201264";"540,00";"540,00";"540,00"
"AMILCAR BATISTA BRITO JUNIOR - 02102962245";"22.317,49";"22.317,49";"22.317,49"
"AMILKA FARIAS DE OLIVEIRA - 01686648286";"400,00";"400,00";"400,00"
"AMILSON ALBUQUERQUE LIMEIRA FILHO - 08811084482";"2.960,10";"2.960,10";"2.960,10"
"AMILSON NOBRE DE SOUZA - 01798534223";"3.874,48";"3.874,48";"3.874,48"
"AMILTON GUIMARAES E CIA LTDA - 71511349000136";"653,94";"653,94";"653,94"
"AMILTON SILVA DE NOVAIS - 19762445287";"322,87";"322,87";"322,87"
"AMINADABE MENEZES FERREIRA - 67241441249";"4.646,24";"4.646,24";"4.646,24"
"AMINADABE MENEZES FERREIRA - SF - 04034484000140";"300,00";"300,00";"300,00"
"AMINE NASCIMENTO RODRIGUES - 94243697272";"2.595,87";"2.595,87";"2.595,87"
"AMISTAD SISTEMAS LTDA - 04360507000107";"36.720,00";"924,00";"924,00"
"A.M MASTER SERVICOS - 43731747000122";"7.755,00";"0,00";"0,00"
"AMMED HEALTH LTDA - 37909428000161";"1.510,00";"0,00";"0,00"
"AMMER SERVIÇOS LTDA - 28471333000118";"170.740,96";"67.502,24";"19.853,60"
"A. M. MOLITERNO LTDA - 67403154000103";"22.306,46";"0,00";"0,00"
